IE_XML_ID;IE_NAME
91;Когда лучше ехать в Турцию
92;Отдых в Турции: лучшие курорты и отели
93;Хотите слетать в Турцию, но боитесь переплатить?
94;Лучшие курорты и отели Турции
95;Подпишитесь на нашу рассылку!
96;Интересное про Турцию
97;Сео-текст
157;Отдых в Таиланде
158;Хотите отдохнуть в Таиланде, но боитесь переплатить?
159;Путевки #YEAR# в Таиланд из Белгорода: цены, отели, курорты
149;Отдых в Кемере
150;Развлечения и достопримечательности
151;Хотите слетать в Кемер, но боитесь переплатить?
152;Кемер на «все включено»
154;История Кемера
155;Погода и кухня
156;Древние города
160;Цены на путевки в Стамбул
161;Хотите купить тур в Стамбул, но боитесь переплатить?
162;СЕО-текст
